1.0117,126.82,0.04,190.5,15.5854435
1,0,0.834,156.6,15.041069
1.0117,47.32,0.079,157.2,30.082138
0.978,1.57,0.045,179.8,29.528479
1.0235,253.64,0.027,203.8,14.496694
0.9643,129.42,1.072,138.7,28.984104
1.0354,20.46,0.005,354.5,43.47616
0.9894,128.39,0.021,96.4,57.96821
1,0,0.009,337.9,86.95232
1.0235,174.14,0,0,115.93642
1.0117,335.18,0.216,113.2,28.43973
1.0117,255.68,0.461,143,13.943035
1.0117,327.82,0.032,199.7,16.139101
0.8761,45.38,0.258,156.9,14.958931
1.0117,98.46,0.075,142.7,13.398661
1,180,0.008,148.6,12.854286
1.6117,314.6,0.002,157.6,30.041067
0.9761,76.9,0.016,284.2,15
1.0389,79.5,0.268,157,30
1,200.72,0,0,60
1,280.36,0,0,90
1.0117,233.18,0.016,157.4,29.958933
0.9191,47.98,0.02,172.7,29.455626
0.9643,337.78,0.034,12.8,27.968208
0.9643,49.92,0.045,126.7,28.512583
1,2.91,0.015,138.8,13.471515
1,177.09,0.034,85.8,44.025173
0.9643,330.42,0.034,63.2,42.92714
1,349.64,0.009,74.6,57.423832
1.0117,233.18,0.012,118,58.984104
1.0175,10.23,0.008,34.4,31.015896
0.9582,39.81,0.022,131.7,1.0980331
1.0009,252.07,0,0,1.0158958
0.9266,183.38,0,0,0.5443747
1.0475,147.28,0.077,292.5,0.0410686
1.0117,126.82,0.033,230.4,0.0821373
